_	Id	CreatedDate	Type__c	IdAgent__c	EntreeClients__c	MessageErreur__c	DureeAppelAPI__c	NbClientsEntree__c	NbContactsSortie__c	CodePosteMetier__c		recordtypeId
[GOCC_MuleAPI_Log__c]	a01AP00000OaU6bYAF	2024-07-18T18:29:22.000+0000	ApiCall		CE16275079585147		11	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OaZMPYA3	2024-07-18T18:30:54.000+0000	LoadTime				16			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OaZO1YAN	2024-07-18T18:30:54.000+0000	ApiCall		CE16275079585147		14	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OabpdYAB	2024-07-18T18:31:44.000+0000	LoadTime				23			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OaeM5YAJ	2024-07-18T18:32:29.000+0000	LoadTime				20			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OaeNhYAJ	2024-07-18T18:32:29.000+0000	ApiCall		CE16275079585147		9	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000ObhUoYAJ	2024-07-18T19:51:22.000+0000	LoadTime				13			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000Obk4TYAR	2024-07-18T19:51:08.000+0000	LoadTime				16			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000Obl2AYAR	2024-07-18T20:36:13.000+0000	ApiCall		CE16275079585147		13	1	1	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000ObmO3YAJ	2024-07-18T20:32:22.000+0000	ApiCall		CE16275079585147		24	1	1	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000ObnbpYAB	2024-07-18T20:36:13.000+0000	LoadTime				13			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OfGatYAF	2024-07-19T07:56:59.000+0000	LoadTime				13			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OfO2AYAV	2024-07-19T07:12:54.000+0000	LoadTime				15			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OfP6IYAV	2024-07-19T07:56:59.000+0000	ApiCall		CE16275079585147		21	1	1	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OfT8IYAV	2024-07-19T07:12:54.000+0000	ApiCall		CE16275079585147		33	1	1	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000PWxIGYA1	2024-08-01T13:21:28.000+0000	ApiCall		CE16275079585147		25	1	1	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000PWzyEYAT	2024-08-01T13:21:27.000+0000	LoadTime				19			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000RtlRlYAJ	2024-09-12T12:46:24.000+0000	ApiCall		CE16275079585147		25	1	1	RoleTest		012AP0000022BPdYAM
